case,mcl_1st,mcl_4th,mcl_wake,mcl_wake_mid,mcd_1st,mcd_4th,mcd_wake,mcd_wake_mid,mcmh_1st,mcmh_4th,mcmh_wake,mcmh_wake_mid,mcmv_1st,mcmv_4th,mcmv_wake,mcmv_wake_mid
phi90.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_sinu,0.44166405,0.45181848,0.010154427,-0.019476006,1.1387596,1.3834247,0.24466517,-0.019476006,0.77808845,0.78233052,0.0042420628,-0.045082602,1.0897724,1.2607247,0.17095231,0.10440576
phi90.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_sinu,0.75993899,0.75334389,-0.0065950971,-0.051593889,1.1240994,1.0710953,-0.05300411,-0.051593889,0.8726971,0.94400485,0.071307749,0.014853765,1.1087248,1.1420343,0.033309524,-0.020113638
phi90.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_sinu,0.46426333,0.44648218,-0.017781153,-0.051449058,1.1688663,1.1821832,0.013316952,-0.051449058,0.9051908,0.94057139,0.03538059,0.0047840025,1.0281634,1.0923058,0.064142364,0.029184937
phi90.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_sinu,0.63935814,0.69491315,0.055555016,-0.039154147,1.2172276,1.3084573,0.09122972,-0.039154147,0.73807526,0.80632409,0.068248833,-0.025761082,1.1349615,1.32502,0.19005847,0.098254518
phi90.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_sinu,0.66927115,0.62343063,-0.045840515,-0.054836836,1.1790429,0.98653425,-0.19250868,-0.054836836,0.85283637,0.91284826,0.060011892,0.011623667,1.1643392,1.0748859,-0.089453295,-0.091386841
phi90.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_sinu,0.75882896,0.73587367,-0.022955287,-0.037500834,1.0784496,1.0082619,-0.07018775,-0.037500834,0.91816983,0.9685188,0.050348972,0.012988972,1.0994353,1.1106436,0.011208375,-0.0023053575
phi90.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_sinu,0.63407627,0.65291592,0.018839649,-0.011967069,1.0536574,1.0654814,0.011824025,-0.011967069,0.9160546,0.98161016,0.065555562,0.024398463,1.0275333,1.0869766,0.059443347,0.037899684
phi90.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_sinu,0.77465505,0.85559967,0.080944619,0.019900737,1.2797806,1.2834849,0.0037042735,0.019900737,0.84108143,0.95488472,0.11380329,0.043757169,1.2218329,1.2991766,0.077343729,0.047385748
phi90.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_sinu,0.70753978,0.58421542,-0.12332435,-0.080274919,1.1092899,0.87929856,-0.22999138,-0.080274919,0.91083127,0.86134434,-0.049486935,-0.042352666,1.153957,0.96978201,-0.18417503,-0.14489479
phi90.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_sinu,0.77308996,0.66246447,-0.11062549,-0.059598695,1.0917683,0.93077409,-0.16099426,-0.059598695,0.97877143,0.91373186,-0.065039567,-0.031513883,1.1488122,1.039598,-0.10921411,-0.04178372
